Date : 2026-08-16 22:18:15
Directory : /mnt/common_disk/vsProjects/uOS_new
Total : 55 files,  8371 codes, 2235 comments, 1640 blanks, all 12246 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| C               |         35 |      6,948 |      2,127 |      1,339 |     10,414 |
| Linker Map file |          1 |        746 |          0 |         27 |        773 |
| C++             |         17 |        563 |         96 |        232 |        891 |
| LinkerScript    |          1 |         80 |         12 |         31 |        123 |
| Makefile        |          1 |         34 |          0 |         11 |         45 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         55 |      8,371 |      2,235 |      1,640 |     12,246 |
| . (Files)                                                                                   |          3 |        345 |         97 |        129 |        571 |
| build                                                                                       |          1 |        746 |          0 |         27 |        773 |
| u_kernel                                                                                    |         51 |      7,280 |      2,138 |      1,484 |     10,902 |
| u_kernel/arch                                                                               |          2 |        417 |         12 |         34 |        463 |
| u_kernel/arch/arm                                                                           |          2 |        417 |         12 |         34 |        463 |
| u_kernel/drivers                                                                            |         10 |      1,243 |        339 |        294 |      1,876 |
| u_kernel/drivers/bcm2711                                                                    |          2 |         90 |          0 |         23 |        113 |
| u_kernel/drivers/emmc                                                                       |          2 |        769 |         93 |        177 |      1,039 |
| u_kernel/drivers/gpio                                                                       |          2 |        145 |          2 |         29 |        176 |
| u_kernel/drivers/uart                                                                       |          2 |        205 |         13 |         46 |        264 |
| u_kernel/drivers/udisp2                                                                     |          2 |         34 |        231 |         19 |        284 |
| u_kernel/filesystem                                                                         |          5 |        471 |         35 |        101 |        607 |
| u_kernel/filesystem/fat                                                                     |          1 |          3 |          0 |          3 |          6 |
| u_kernel/filesystem/ufs                                                                     |          2 |        240 |         24 |         54 |        318 |
| u_kernel/filesystem/vfs                                                                     |          2 |        228 |         11 |         44 |        283 |
| u_kernel/framework                                                                          |          6 |        806 |        178 |        212 |      1,196 |
| u_kernel/framework/SupervisorRequestHandler                                                 |          2 |        150 |         26 |         36 |        212 |
| u_kernel/framework/interrupt                                                                |          2 |        284 |         54 |         70 |        408 |
| u_kernel/framework/threading                                                                |          2 |        372 |         98 |        106 |        576 |
| u_kernel/memory                                                                             |          8 |      1,505 |        233 |        349 |      2,087 |
| u_kernel/objects                                                                            |          4 |        193 |         19 |         69 |        281 |
| u_kernel/objects (Files)                                                                    |          2 |        118 |         10 |         41 |        169 |
| u_kernel/objects/udevice                                                                    |          2 |         75 |          9 |         28 |        112 |
| u_kernel/timer                                                                              |          2 |         62 |          8 |         17 |         87 |
| u_kernel/uFX                                                                                |          6 |      2,111 |      1,280 |        293 |      3,684 |
| u_kernel/uFX (Files)                                                                        |          2 |          7 |          6 |          8 |         21 |
| u_kernel/uFX/embeded_fonts                                                                  |          2 |      2,059 |        812 |        264 |      3,135 |
| u_kernel/uFX/sRND                                                                           |          2 |         45 |        462 |         21 |        528 |
| u_kernel/uFX/sRND/canvas                                                                    |          2 |         45 |        462 |         21 |        528 |
| u_kernel/util                                                                               |          8 |        472 |         34 |        115 |        621 |
| u_kernel/util (Files)                                                                       |          5 |        302 |          7 |         65 |        374 |
| u_kernel/util/lock                                                                          |          1 |        118 |         27 |         31 |        176 |
| u_kernel/util/random                                                                        |          2 |         52 |          0 |         19 |         71 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                    | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /mnt/common_disk/vsProjects/uOS_new/Makefile                                                | Makefile        |         34 |          0 |         11 |         45 |
| /mnt/common_disk/vsProjects/uOS_new/build/kernel.map                                        | Linker Map file |        746 |          0 |         27 |        773 |
| /mnt/common_disk/vsProjects/uOS_new/kernel.c                                                | C               |        231 |         85 |         87 |        403 |
| /mnt/common_disk/vsProjects/uOS_new/link.ld                                                 | LinkerScript    |         80 |         12 |         31 |        123 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/arch/arm/u_arm.c                               | C               |        409 |          4 |         27 |        440 |
